,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,Above the Break 3,Right Side Center(RC),26,136,227,0
1,Mid-Range,Right Side(R),21,212,17,0
2,Restricted Area,Center(C),0,8,4,0
3,Restricted Area,Center(C),2,-3,26,0
4,Restricted Area,Center(C),0,0,-6,1
5,Mid-Range,Right Side Center(RC),22,182,134,0
6,Restricted Area,Center(C),2,2,28,0
7,Left Corner 3,Left Side(L),23,-231,32,0
8,Restricted Area,Center(C),1,-11,12,0
9,Mid-Range,Right Side Center(RC),20,141,148,1
10,Above the Break 3,Left Side Center(LC),26,-153,222,0
11,Restricted Area,Center(C),1,-12,11,1
12,Right Corner 3,Right Side(R),23,231,22,0
13,Restricted Area,Center(C),0,0,5,1
14,Restricted Area,Center(C),1,-15,8,1
15,Restricted Area,Center(C),0,0,-6,1
16,Above the Break 3,Center(C),26,-54,257,1
17,Above the Break 3,Right Side Center(RC),25,109,230,0
18,In The Paint (Non-RA),Center(C),4,0,47,1
19,Restricted Area,Center(C),1,-2,17,0
20,Restricted Area,Center(C),2,21,16,1
21,Above the Break 3,Left Side Center(LC),27,-181,201,1
22,Left Corner 3,Left Side(L),24,-236,49,1
23,Restricted Area,Center(C),3,-25,21,0
24,Above the Break 3,Right Side Center(RC),25,235,89,1
25,Above the Break 3,Left Side Center(LC),25,-122,222,0
26,In The Paint (Non-RA),Center(C),4,35,29,0
27,Right Corner 3,Right Side(R),23,231,-7,0
28,Restricted Area,Center(C),0,0,-6,1
29,Restricted Area,Center(C),2,5,27,0
30,Restricted Area,Center(C),0,0,-6,1
31,Above the Break 3,Left Side Center(LC),26,-122,235,0
32,Restricted Area,Center(C),1,-2,13,0
33,Left Corner 3,Left Side(L),23,-236,-14,0
34,Above the Break 3,Right Side Center(RC),26,116,235,0
35,Restricted Area,Center(C),0,0,-6,1
36,Right Corner 3,Right Side(R),22,223,8,0
37,Restricted Area,Center(C),0,0,-6,1
38,Restricted Area,Center(C),0,0,-6,0
39,Restricted Area,Center(C),1,9,16,0
40,Restricted Area,Center(C),1,11,14,1
41,Restricted Area,Center(C),0,0,-6,0
42,Restricted Area,Center(C),0,0,-6,0
43,In The Paint (Non-RA),Center(C),4,-7,47,1
44,In The Paint (Non-RA),Center(C),4,44,22,0
45,Restricted Area,Center(C),0,-6,5,1
46,Above the Break 3,Right Side Center(RC),25,190,173,1
47,Restricted Area,Center(C),2,14,25,1
48,Above the Break 3,Right Side Center(RC),24,176,175,0
49,Restricted Area,Center(C),0,-5,8,1
50,Restricted Area,Center(C),2,-2,26,0
51,Restricted Area,Center(C),2,11,25,0
52,Restricted Area,Center(C),2,23,15,1
53,Restricted Area,Center(C),0,0,-6,1
54,Restricted Area,Center(C),2,1,24,0
55,Restricted Area,Center(C),0,0,-6,1
56,Above the Break 3,Center(C),25,-71,248,0
57,In The Paint (Non-RA),Center(C),5,11,55,1
58,Above the Break 3,Center(C),25,72,240,1
59,Above the Break 3,Left Side Center(LC),25,-122,222,0
60,Restricted Area,Center(C),1,-9,8,1
61,Restricted Area,Center(C),0,0,-6,0
62,Restricted Area,Center(C),1,-3,11,1
63,Restricted Area,Center(C),0,0,-6,1
64,Above the Break 3,Right Side Center(RC),26,170,197,0
65,Left Corner 3,Left Side(L),24,-239,59,0
66,Restricted Area,Center(C),0,0,-6,0
67,Above the Break 3,Right Side Center(RC),24,140,204,1
68,Mid-Range,Left Side Center(LC),19,-106,165,0
69,Above the Break 3,Right Side Center(RC),24,165,180,0
70,Restricted Area,Center(C),0,0,-6,1
71,Above the Break 3,Right Side Center(RC),25,158,197,1
72,Above the Break 3,Right Side Center(RC),25,95,242,0
73,Restricted Area,Center(C),3,28,11,0
74,Restricted Area,Center(C),1,8,15,1
75,Restricted Area,Center(C),2,16,14,0
76,Restricted Area,Center(C),1,-2,13,0
77,Above the Break 3,Left Side Center(LC),25,-169,185,0
78,Restricted Area,Center(C),1,0,15,1
79,In The Paint (Non-RA),Center(C),4,19,41,1
80,Above the Break 3,Right Side Center(RC),26,102,242,0
81,Above the Break 3,Center(C),24,36,242,1
82,Restricted Area,Center(C),0,0,-6,0
83,Above the Break 3,Center(C),25,59,244,1
84,Restricted Area,Center(C),0,0,5,1
85,Above the Break 3,Center(C),25,-27,251,0
86,Above the Break 3,Right Side Center(RC),27,223,153,1
87,Above the Break 3,Right Side Center(RC),28,193,216,0
88,In The Paint (Non-RA),Center(C),9,-10,92,0
