,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,Above the Break 3,Right Side Center(RC),25,176,186,1
1,Above the Break 3,Left Side Center(LC),29,-176,232,0
2,In The Paint (Non-RA),Center(C),4,-41,18,1
3,In The Paint (Non-RA),Center(C),6,29,54,0
4,In The Paint (Non-RA),Center(C),5,35,37,0
5,Above the Break 3,Center(C),26,-7,268,0
6,Above the Break 3,Right Side Center(RC),28,148,243,0
7,In The Paint (Non-RA),Center(C),9,-11,95,0
8,Above the Break 3,Right Side Center(RC),25,208,151,0
9,Above the Break 3,Center(C),32,85,311,0
10,Above the Break 3,Right Side Center(RC),25,170,184,1
11,Above the Break 3,Right Side Center(RC),26,111,236,0
12,Above the Break 3,Left Side Center(LC),25,-182,180,1
13,Above the Break 3,Left Side Center(LC),24,-133,211,1
14,Restricted Area,Center(C),1,16,3,0
15,Restricted Area,Center(C),0,-6,4,1
16,Above the Break 3,Center(C),28,-4,285,0
17,Backcourt,Back Court(BC),62,190,593,0
18,Restricted Area,Center(C),2,21,-1,1
19,Above the Break 3,Right Side Center(RC),24,217,116,1
20,Mid-Range,Center(C),20,-56,196,1
21,Above the Break 3,Right Side Center(RC),24,182,158,0
22,Restricted Area,Center(C),2,21,0,0
23,Above the Break 3,Left Side Center(LC),25,-128,217,0
24,Restricted Area,Center(C),1,-14,11,0
25,Restricted Area,Center(C),0,9,4,1
26,Mid-Range,Right Side Center(RC),22,130,188,1
27,Above the Break 3,Center(C),26,-17,268,1
28,Above the Break 3,Right Side Center(RC),26,178,190,1
29,Above the Break 3,Left Side Center(LC),24,-166,185,0
30,Above the Break 3,Right Side Center(RC),23,209,117,0
31,Above the Break 3,Right Side Center(RC),40,187,356,0
32,Above the Break 3,Right Side Center(RC),25,198,160,1
33,Above the Break 3,Center(C),25,-18,251,0
34,Above the Break 3,Left Side Center(LC),25,-164,190,0
35,Above the Break 3,Left Side Center(LC),26,-161,207,0
36,Mid-Range,Left Side Center(LC),16,-83,137,0
37,Restricted Area,Center(C),1,-17,4,1
38,Above the Break 3,Center(C),27,-31,277,1
39,Above the Break 3,Center(C),26,-75,256,0
40,Restricted Area,Center(C),2,20,0,0
41,Above the Break 3,Center(C),26,-49,260,0
42,Above the Break 3,Center(C),26,41,264,0
43,Restricted Area,Center(C),0,2,-2,0
44,Above the Break 3,Center(C),26,49,263,0
45,Restricted Area,Center(C),1,-14,0,1
46,In The Paint (Non-RA),Center(C),4,30,29,0
47,Restricted Area,Center(C),2,-16,23,0
48,Above the Break 3,Right Side Center(RC),26,152,212,1
49,Mid-Range,Right Side(R),12,87,89,1
50,In The Paint (Non-RA),Right Side(R),8,76,25,1
51,In The Paint (Non-RA),Center(C),4,10,41,0
52,Above the Break 3,Right Side Center(RC),27,106,258,0
53,Mid-Range,Left Side Center(LC),21,-85,200,0
54,Right Corner 3,Right Side(R),23,233,25,0
55,Above the Break 3,Left Side Center(LC),24,-157,188,1
56,Above the Break 3,Left Side Center(LC),25,-150,206,0
57,Above the Break 3,Right Side Center(RC),25,221,135,1
58,Mid-Range,Right Side(R),12,83,98,0
59,Above the Break 3,Left Side Center(LC),27,-90,264,1
60,Restricted Area,Center(C),1,-10,9,1
61,Right Corner 3,Right Side(R),23,229,69,0
62,Restricted Area,Center(C),2,18,19,1
63,Above the Break 3,Right Side Center(RC),26,157,218,1
64,Restricted Area,Center(C),1,16,0,1
65,Mid-Range,Center(C),16,-6,162,1
66,Left Corner 3,Left Side(L),22,-220,40,0
67,Above the Break 3,Left Side Center(LC),26,-90,251,0
68,Restricted Area,Center(C),1,-15,6,1
69,Above the Break 3,Center(C),24,-38,247,0
70,Above the Break 3,Right Side Center(RC),25,183,179,0
71,Above the Break 3,Center(C),25,-7,253,1
72,Left Corner 3,Left Side(L),23,-236,-11,0
73,Restricted Area,Center(C),1,13,-1,1
74,Restricted Area,Center(C),2,24,10,0
75,Above the Break 3,Right Side Center(RC),27,160,218,1
76,Restricted Area,Center(C),2,20,8,1
77,Restricted Area,Center(C),3,-29,10,0
78,Above the Break 3,Right Side Center(RC),27,158,229,0
79,Mid-Range,Left Side Center(LC),20,-74,196,0
80,Restricted Area,Center(C),1,6,18,0
81,Above the Break 3,Right Side Center(RC),25,200,154,0
82,Above the Break 3,Left Side Center(LC),25,-198,160,0
83,Above the Break 3,Right Side Center(RC),24,143,202,0
84,Above the Break 3,Center(C),26,-32,259,1
85,Restricted Area,Center(C),2,-22,0,0
86,Above the Break 3,Left Side Center(LC),26,-189,192,1
87,Above the Break 3,Right Side Center(RC),25,179,179,1
88,Above the Break 3,Right Side Center(RC),26,116,237,1
89,In The Paint (Non-RA),Center(C),7,70,4,0
90,Restricted Area,Center(C),3,-25,24,0
91,Restricted Area,Center(C),1,-10,-4,1
92,Above the Break 3,Center(C),28,-2,285,1
93,Above the Break 3,Left Side Center(LC),26,-130,232,0
94,Restricted Area,Center(C),3,-32,-4,1
95,Restricted Area,Center(C),1,-15,8,0
96,In The Paint (Non-RA),Center(C),13,27,137,1
97,Left Corner 3,Left Side(L),23,-234,9,0
98,Mid-Range,Left Side(L),16,-161,17,1
99,Restricted Area,Center(C),3,29,17,1
100,Above the Break 3,Left Side Center(LC),25,-84,243,1
101,Above the Break 3,Left Side Center(LC),27,-150,226,1
102,In The Paint (Non-RA),Center(C),5,-1,55,0
103,In The Paint (Non-RA),Center(C),12,25,120,1
104,Restricted Area,Center(C),2,-19,23,1
105,Above the Break 3,Left Side Center(LC),27,-93,260,0
106,Above the Break 3,Left Side Center(LC),25,-217,129,0
107,In The Paint (Non-RA),Center(C),13,-38,132,0
108,In The Paint (Non-RA),Right Side(R),12,67,109,1
109,Restricted Area,Center(C),3,34,14,1
110,Above the Break 3,Right Side Center(RC),26,158,218,1
111,Restricted Area,Center(C),1,-16,5,0
112,Restricted Area,Center(C),1,11,11,0
113,Above the Break 3,Right Side Center(RC),26,169,210,1
114,Restricted Area,Center(C),2,18,-13,0
115,Above the Break 3,Left Side Center(LC),25,-87,235,0
116,In The Paint (Non-RA),Center(C),8,40,75,1
117,Left Corner 3,Left Side(L),22,-229,17,0
118,In The Paint (Non-RA),Center(C),9,-2,92,0
119,Above the Break 3,Left Side Center(LC),25,-188,175,0
120,Restricted Area,Center(C),2,-24,17,0
121,In The Paint (Non-RA),Center(C),10,-25,101,0
122,Restricted Area,Center(C),0,0,0,1
123,Restricted Area,Center(C),2,20,10,0
124,Mid-Range,Center(C),18,5,180,1
125,Above the Break 3,Center(C),25,-1,253,1
126,Restricted Area,Center(C),0,2,8,1
127,Restricted Area,Center(C),1,10,5,1
128,Above the Break 3,Right Side Center(RC),25,93,238,0
129,Restricted Area,Center(C),3,-25,23,1
130,Above the Break 3,Center(C),25,18,255,1
131,In The Paint (Non-RA),Center(C),11,-21,114,1
132,Restricted Area,Center(C),0,-6,4,1
133,Restricted Area,Center(C),1,11,5,0
134,Above the Break 3,Center(C),25,-78,243,1
135,Restricted Area,Center(C),1,14,0,1
136,Above the Break 3,Right Side Center(RC),27,155,226,1
137,Above the Break 3,Right Side Center(RC),25,88,241,0
138,Above the Break 3,Right Side Center(RC),25,144,215,1
139,Above the Break 3,Right Side Center(RC),29,127,263,0
140,Above the Break 3,Right Side Center(RC),26,98,248,0
141,Above the Break 3,Right Side Center(RC),26,132,234,0
142,Above the Break 3,Right Side Center(RC),25,126,226,0
143,Above the Break 3,Right Side Center(RC),26,185,187,1
144,Restricted Area,Center(C),0,1,3,1
145,Restricted Area,Center(C),1,12,13,0
146,Above the Break 3,Left Side Center(LC),26,-147,215,0
147,Above the Break 3,Right Side Center(RC),27,192,195,0
148,Restricted Area,Center(C),1,0,11,0
149,Restricted Area,Center(C),2,17,14,1
150,Above the Break 3,Center(C),27,2,271,1
151,Restricted Area,Center(C),1,12,6,0
152,Above the Break 3,Center(C),29,74,284,1
153,Restricted Area,Center(C),2,4,25,1
154,In The Paint (Non-RA),Center(C),6,-11,60,1
155,Above the Break 3,Center(C),33,-33,336,0
156,In The Paint (Non-RA),Center(C),4,15,38,1
157,Left Corner 3,Left Side(L),23,-232,-21,0
158,Restricted Area,Center(C),2,6,28,0
159,Mid-Range,Right Side(R),15,152,33,1
160,Above the Break 3,Right Side Center(RC),29,158,251,0
161,Backcourt,Back Court(BC),57,176,547,0
162,Restricted Area,Center(C),1,-5,11,1
163,In The Paint (Non-RA),Center(C),12,9,128,1
164,Above the Break 3,Center(C),29,2,296,0
165,Right Corner 3,Right Side(R),23,227,62,1
166,Restricted Area,Center(C),0,2,4,0
167,Above the Break 3,Left Side Center(LC),26,-131,236,1
168,Mid-Range,Right Side Center(RC),22,149,172,0
169,Above the Break 3,Center(C),39,24,395,0
170,In The Paint (Non-RA),Center(C),5,0,50,0
171,Mid-Range,Left Side Center(LC),19,-100,173,0
172,Above the Break 3,Right Side Center(RC),24,180,169,0
173,Above the Break 3,Left Side Center(LC),27,-195,193,0
174,Above the Break 3,Right Side Center(RC),27,87,265,0
175,Above the Break 3,Right Side Center(RC),25,141,214,0
176,Above the Break 3,Center(C),26,24,262,1
177,Above the Break 3,Center(C),26,49,258,0
178,Above the Break 3,Left Side Center(LC),24,-143,205,1
179,Above the Break 3,Center(C),27,55,272,1
180,Restricted Area,Center(C),3,-33,11,0
181,Mid-Range,Right Side Center(RC),20,78,187,1
182,Above the Break 3,Right Side Center(RC),26,203,173,1
183,Above the Break 3,Right Side Center(RC),31,182,261,0
184,Right Corner 3,Right Side(R),23,234,9,1
185,Above the Break 3,Right Side Center(RC),25,110,229,0
186,Above the Break 3,Center(C),26,50,257,0
187,Mid-Range,Center(C),20,17,203,0
188,Restricted Area,Center(C),2,11,27,0
189,Above the Break 3,Center(C),26,-19,261,0
190,In The Paint (Non-RA),Right Side(R),14,76,121,0
191,Above the Break 3,Left Side Center(LC),24,-144,197,0
192,Above the Break 3,Right Side Center(RC),29,160,242,0
193,Right Corner 3,Right Side(R),24,244,8,0
194,Mid-Range,Right Side Center(RC),21,107,185,0
195,Right Corner 3,Right Side(R),23,232,-26,1
196,Above the Break 3,Center(C),25,55,249,1
197,Above the Break 3,Left Side Center(LC),27,-149,228,1
198,Mid-Range,Left Side(L),11,-87,73,0
199,Mid-Range,Left Side(L),10,-89,64,1
200,Restricted Area,Center(C),3,31,17,0
201,Above the Break 3,Center(C),28,85,274,0
202,Left Corner 3,Left Side(L),23,-231,4,0
203,Mid-Range,Center(C),14,25,140,0
204,Restricted Area,Center(C),2,-25,11,0
205,Above the Break 3,Right Side Center(RC),25,158,204,0
206,Above the Break 3,Center(C),24,-59,239,0
207,Above the Break 3,Center(C),26,6,261,0
208,Left Corner 3,Left Side(L),23,-234,47,0
209,In The Paint (Non-RA),Center(C),10,-29,99,1
210,Above the Break 3,Right Side Center(RC),27,177,208,0
211,Mid-Range,Center(C),20,-46,199,0
212,Above the Break 3,Center(C),26,-13,268,0
213,Restricted Area,Center(C),2,22,6,0
214,Left Corner 3,Left Side(L),22,-223,-16,0
215,Mid-Range,Center(C),20,-43,205,0
216,Above the Break 3,Left Side Center(LC),27,-161,220,0
217,Above the Break 3,Left Side Center(LC),29,-154,252,1
218,Above the Break 3,Right Side Center(RC),26,131,231,0
219,Above the Break 3,Left Side Center(LC),26,-180,190,0
220,Above the Break 3,Left Side Center(LC),25,-182,183,1
221,Mid-Range,Left Side(L),16,-159,34,1
222,In The Paint (Non-RA),Right Side(R),8,64,53,0
223,Mid-Range,Center(C),21,-1,217,1
224,In The Paint (Non-RA),Center(C),5,18,52,0
225,Mid-Range,Center(C),14,2,148,0
226,Above the Break 3,Right Side Center(RC),24,169,180,1
227,Restricted Area,Center(C),1,9,8,1
228,Above the Break 3,Center(C),25,-5,255,0
229,Restricted Area,Center(C),2,-22,3,1
230,Above the Break 3,Left Side Center(LC),25,-140,213,0
231,In The Paint (Non-RA),Center(C),4,24,41,0
232,Above the Break 3,Left Side Center(LC),28,-169,229,0
233,Mid-Range,Right Side(R),17,170,-18,0
234,Right Corner 3,Right Side(R),23,228,56,1
235,Restricted Area,Center(C),2,-24,3,0
236,Left Corner 3,Left Side(L),23,-227,57,0
237,Above the Break 3,Center(C),26,60,253,1
238,Above the Break 3,Left Side Center(LC),25,-131,218,0
239,In The Paint (Non-RA),Center(C),6,-28,59,0
240,In The Paint (Non-RA),Center(C),7,19,76,0
241,Above the Break 3,Left Side Center(LC),27,-148,231,0
242,In The Paint (Non-RA),Center(C),4,30,38,0
243,In The Paint (Non-RA),Right Side(R),10,74,74,0
244,Mid-Range,Left Side Center(LC),18,-92,162,1
245,Above the Break 3,Right Side Center(RC),25,229,106,0
246,Mid-Range,Center(C),14,1,142,0
247,Above the Break 3,Center(C),29,-15,293,0
248,Restricted Area,Center(C),1,-9,6,1
249,Restricted Area,Center(C),3,-33,19,1
250,Above the Break 3,Left Side Center(LC),25,-182,182,0
251,Above the Break 3,Left Side Center(LC),25,-207,150,0
252,Above the Break 3,Center(C),27,25,269,1
253,Mid-Range,Left Side Center(LC),16,-108,119,1
254,Mid-Range,Left Side Center(LC),20,-68,193,0
255,Above the Break 3,Right Side Center(RC),28,143,250,0
256,Restricted Area,Center(C),2,-21,8,0
257,Above the Break 3,Center(C),27,-84,266,1
258,Above the Break 3,Right Side Center(RC),26,239,110,0
259,Right Corner 3,Right Side(R),23,223,58,0
260,Mid-Range,Center(C),18,-33,180,1
261,Above the Break 3,Right Side Center(RC),26,221,144,0
262,Mid-Range,Left Side Center(LC),18,-99,154,0
263,Mid-Range,Left Side(L),18,-182,-1,0
264,Above the Break 3,Right Side Center(RC),27,193,194,1
265,Above the Break 3,Left Side Center(LC),28,-193,204,1
266,Restricted Area,Center(C),2,-16,16,0
267,Restricted Area,Center(C),0,0,6,1
268,Above the Break 3,Right Side Center(RC),25,180,178,1
269,Restricted Area,Center(C),0,-2,9,0
270,In The Paint (Non-RA),Center(C),13,29,131,0
271,Restricted Area,Center(C),1,11,14,1
272,Above the Break 3,Left Side Center(LC),26,-134,227,0
273,Mid-Range,Left Side(L),11,-118,-5,0
274,Restricted Area,Center(C),0,-3,-5,1
275,Restricted Area,Center(C),0,-6,6,1
276,In The Paint (Non-RA),Center(C),11,16,116,1
277,In The Paint (Non-RA),Center(C),13,22,132,1
278,Above the Break 3,Left Side Center(LC),28,-197,206,1
279,Restricted Area,Center(C),0,5,-1,1
280,Restricted Area,Center(C),0,-2,-4,0
