,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,Above the Break 3,Center(C),26,24,260,0
1,Mid-Range,Left Side Center(LC),16,-73,144,1
2,Above the Break 3,Center(C),25,9,259,1
3,Mid-Range,Left Side(L),10,-98,21,0
4,Above the Break 3,Right Side Center(RC),25,109,236,1
5,Above the Break 3,Center(C),26,-22,262,1
6,Above the Break 3,Right Side Center(RC),26,125,235,1
7,Mid-Range,Left Side(L),18,-182,53,0
8,Above the Break 3,Left Side Center(LC),31,-186,258,0
9,Above the Break 3,Left Side Center(LC),26,-86,246,0
10,In The Paint (Non-RA),Center(C),4,41,-12,1
11,Restricted Area,Center(C),2,17,19,1
12,Above the Break 3,Right Side Center(RC),26,104,242,0
13,Above the Break 3,Left Side Center(LC),26,-190,190,0
14,Restricted Area,Center(C),2,-8,24,0
15,Mid-Range,Left Side(L),11,-95,64,0
16,Restricted Area,Center(C),2,-22,0,1
17,Above the Break 3,Left Side Center(LC),25,-156,204,0
18,Above the Break 3,Right Side Center(RC),28,163,232,0
19,Restricted Area,Center(C),1,7,15,1
20,Restricted Area,Center(C),2,2,21,0
21,Above the Break 3,Center(C),26,-6,269,1
22,Restricted Area,Center(C),0,3,4,0
23,Left Corner 3,Left Side(L),23,-231,32,0
24,Above the Break 3,Left Side Center(LC),25,-181,181,1
25,Restricted Area,Center(C),1,-18,1,1
26,Above the Break 3,Left Side Center(LC),26,-119,241,0
27,Restricted Area,Center(C),0,5,-4,1
28,Mid-Range,Left Side(L),10,-107,1,0
29,Mid-Range,Left Side Center(LC),19,-121,148,0
30,Above the Break 3,Left Side Center(LC),28,-107,260,0
31,Above the Break 3,Right Side Center(RC),26,174,204,0
32,Above the Break 3,Left Side Center(LC),25,-138,216,1
33,Restricted Area,Center(C),1,-14,6,1
34,Above the Break 3,Left Side Center(LC),24,-81,235,0
35,Above the Break 3,Center(C),25,26,251,1
36,In The Paint (Non-RA),Center(C),12,18,124,0
37,Mid-Range,Right Side Center(RC),20,66,195,0
38,Above the Break 3,Center(C),27,24,274,1
39,Above the Break 3,Left Side Center(LC),26,-97,243,0
40,Mid-Range,Center(C),15,-43,152,0
41,Above the Break 3,Right Side Center(RC),25,89,237,0
42,Restricted Area,Center(C),2,0,21,1
43,Mid-Range,Center(C),20,7,205,0
44,In The Paint (Non-RA),Center(C),4,-3,43,1
45,Above the Break 3,Left Side Center(LC),26,-126,233,0
46,Above the Break 3,Right Side Center(RC),24,206,139,1
47,Above the Break 3,Center(C),29,-87,279,1
48,Above the Break 3,Left Side Center(LC),25,-161,202,1
49,Above the Break 3,Center(C),25,-44,256,0
50,Above the Break 3,Right Side Center(RC),25,188,169,0
51,Above the Break 3,Center(C),25,34,252,0
52,Restricted Area,Center(C),2,-22,15,1
53,Above the Break 3,Left Side Center(LC),25,-86,245,1
54,Above the Break 3,Left Side Center(LC),27,-131,242,0
55,Mid-Range,Left Side(L),15,-100,114,1
56,Restricted Area,Center(C),3,22,22,0
57,Above the Break 3,Right Side Center(RC),25,79,241,1
58,In The Paint (Non-RA),Center(C),6,8,69,0
59,Above the Break 3,Left Side Center(LC),24,-180,172,0
60,Above the Break 3,Center(C),26,57,263,0
61,Above the Break 3,Right Side Center(RC),30,153,266,1
62,Left Corner 3,Left Side(L),24,-240,62,0
63,Above the Break 3,Right Side Center(RC),25,108,227,0
64,Restricted Area,Center(C),2,-24,-1,0
65,Above the Break 3,Right Side Center(RC),25,157,204,0
66,Left Corner 3,Left Side(L),23,-234,6,1
67,Above the Break 3,Left Side Center(LC),25,-117,230,0
68,Above the Break 3,Center(C),25,-11,253,0
69,Restricted Area,Center(C),2,-19,23,1
70,Above the Break 3,Right Side Center(RC),32,131,302,0
71,Above the Break 3,Left Side Center(LC),25,-106,229,1
72,Mid-Range,Center(C),22,-13,220,1
73,Restricted Area,Center(C),3,38,-2,1
74,Right Corner 3,Right Side(R),23,228,46,0
75,Left Corner 3,Left Side(L),23,-232,41,0
76,Mid-Range,Right Side(R),10,99,25,0
77,Mid-Range,Center(C),17,51,169,0
78,Above the Break 3,Center(C),27,-35,269,0
79,Above the Break 3,Center(C),26,22,268,0
80,In The Paint (Non-RA),Center(C),7,-60,37,0
81,Restricted Area,Center(C),1,15,5,1
82,In The Paint (Non-RA),Center(C),7,13,78,1
83,Restricted Area,Center(C),3,-17,28,0
84,Above the Break 3,Right Side Center(RC),29,137,262,0
85,Above the Break 3,Left Side Center(LC),24,-98,229,1
86,Above the Break 3,Right Side Center(RC),25,98,237,0
87,Restricted Area,Center(C),2,-4,29,0
88,Restricted Area,Center(C),2,1,26,1
89,Restricted Area,Center(C),2,9,26,1
90,Mid-Range,Center(C),22,-3,226,1
91,In The Paint (Non-RA),Center(C),6,58,34,1
92,Right Corner 3,Right Side(R),23,231,44,0
93,Restricted Area,Center(C),0,-7,1,1
94,Restricted Area,Center(C),0,-8,-5,1
95,Above the Break 3,Center(C),25,60,249,1
96,Above the Break 3,Right Side Center(RC),25,220,122,0
97,Above the Break 3,Left Side Center(LC),25,-116,227,0
98,Left Corner 3,Left Side(L),23,-231,13,1
99,Above the Break 3,Right Side Center(RC),26,85,247,0
100,Restricted Area,Center(C),1,-6,19,0
101,In The Paint (Non-RA),Center(C),9,2,99,0
