,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,In The Paint (Non-RA),Center(C),7,-62,50,0
1,Backcourt,Back Court(BC),60,-107,596,0
2,Above the Break 3,Left Side Center(LC),26,-191,180,0
3,Restricted Area,Center(C),1,11,6,1
4,Restricted Area,Center(C),2,18,15,1
5,Restricted Area,Center(C),2,0,24,1
6,Above the Break 3,Left Side Center(LC),24,-171,182,0
7,Above the Break 3,Right Side Center(RC),25,160,200,0
8,Above the Break 3,Right Side Center(RC),25,176,178,0
9,Restricted Area,Center(C),2,18,14,1
10,Above the Break 3,Right Side Center(RC),24,149,200,0
11,Restricted Area,Center(C),1,-13,8,1
12,Above the Break 3,Right Side Center(RC),26,169,209,0
13,Above the Break 3,Left Side Center(LC),25,-191,168,0
14,Above the Break 3,Left Side Center(LC),25,-158,205,1
15,Right Corner 3,Right Side(R),23,232,-19,1
16,Above the Break 3,Left Side Center(LC),25,-128,221,0
17,Right Corner 3,Right Side(R),23,231,50,1
18,Above the Break 3,Right Side Center(RC),25,194,163,1
19,Restricted Area,Center(C),1,-7,-9,1
20,In The Paint (Non-RA),Center(C),5,35,39,0
21,Restricted Area,Center(C),1,-11,0,1
22,Above the Break 3,Right Side Center(RC),24,107,223,0
23,Above the Break 3,Center(C),26,11,264,1
24,Left Corner 3,Left Side(L),22,-225,46,1
25,Restricted Area,Center(C),0,2,0,1
26,Above the Break 3,Center(C),25,-2,258,0
27,Above the Break 3,Left Side Center(LC),25,-161,199,0
28,In The Paint (Non-RA),Center(C),6,-17,58,0
29,Right Corner 3,Right Side(R),24,232,73,0
30,Restricted Area,Center(C),3,31,15,0
31,Above the Break 3,Left Side Center(LC),26,-182,191,0
32,Above the Break 3,Left Side Center(LC),27,-198,184,0
33,Restricted Area,Center(C),0,0,0,1
34,Above the Break 3,Left Side Center(LC),24,-163,183,0
35,Right Corner 3,Right Side(R),23,236,38,0
36,Above the Break 3,Center(C),25,65,250,0
37,Right Corner 3,Right Side(R),23,229,35,0
38,Left Corner 3,Left Side(L),22,-220,-7,0
39,Right Corner 3,Right Side(R),22,229,0,0
40,Left Corner 3,Left Side(L),23,-234,-10,0
41,Restricted Area,Center(C),2,16,22,1
42,Left Corner 3,Left Side(L),23,-230,13,0
43,Left Corner 3,Left Side(L),23,-231,10,1
44,Above the Break 3,Left Side Center(LC),25,-138,216,0
45,Restricted Area,Center(C),1,10,1,1
46,Restricted Area,Center(C),1,11,4,1
47,Right Corner 3,Right Side(R),22,228,-15,1
48,Left Corner 3,Left Side(L),24,-234,69,0
49,In The Paint (Non-RA),Center(C),4,46,-7,1
50,In The Paint (Non-RA),Center(C),5,34,41,0
51,Left Corner 3,Left Side(L),23,-231,47,0
52,Left Corner 3,Left Side(L),23,-226,58,0
53,Restricted Area,Center(C),3,-12,31,1
54,Restricted Area,Center(C),2,4,28,0
55,Above the Break 3,Center(C),27,15,274,1
56,Right Corner 3,Right Side(R),22,229,4,1
57,Above the Break 3,Center(C),25,-58,247,0
58,Restricted Area,Center(C),1,-11,-5,1
59,Right Corner 3,Right Side(R),23,239,-8,1
60,Right Corner 3,Right Side(R),23,228,32,1
61,Restricted Area,Center(C),0,-5,-5,1
62,Above the Break 3,Center(C),25,25,253,0
63,Restricted Area,Center(C),0,2,0,1
64,Restricted Area,Center(C),0,0,0,1
65,Restricted Area,Center(C),1,-3,10,1
66,Above the Break 3,Left Side Center(LC),25,-215,144,0
67,Right Corner 3,Right Side(R),22,222,39,0
68,Restricted Area,Center(C),1,2,17,1
69,Above the Break 3,Right Side Center(RC),25,174,188,0
70,Left Corner 3,Left Side(L),23,-236,29,0
71,Restricted Area,Center(C),2,22,1,0
72,Restricted Area,Center(C),3,22,22,1
73,In The Paint (Non-RA),Center(C),4,-6,48,0
74,Restricted Area,Center(C),3,3,35,0
75,Above the Break 3,Right Side Center(RC),26,104,245,0
76,Restricted Area,Center(C),2,2,29,0
77,Restricted Area,Center(C),0,1,9,1
78,Above the Break 3,Right Side Center(RC),24,83,235,0
79,Right Corner 3,Right Side(R),22,228,30,1
80,Left Corner 3,Left Side(L),22,-223,-8,0
81,In The Paint (Non-RA),Center(C),6,4,68,0
82,Above the Break 3,Left Side Center(LC),25,-225,120,1
83,Restricted Area,Center(C),3,16,32,0
84,Right Corner 3,Right Side(R),22,225,33,0
85,In The Paint (Non-RA),Center(C),4,-1,49,1
86,In The Paint (Non-RA),Right Side(R),13,74,111,0
87,Above the Break 3,Left Side Center(LC),24,-173,174,1
