,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,Above the Break 3,Left Side Center(LC),24,-158,188,1
1,Restricted Area,Center(C),1,14,4,1
2,Restricted Area,Center(C),1,-14,4,1
3,Restricted Area,Center(C),1,-9,13,1
4,Above the Break 3,Right Side Center(RC),26,138,228,1
5,Restricted Area,Center(C),2,24,4,0
6,Restricted Area,Center(C),1,-14,13,0
7,Above the Break 3,Left Side Center(LC),27,-109,251,0
8,Restricted Area,Center(C),1,-15,13,1
9,Above the Break 3,Center(C),26,-42,260,1
10,Restricted Area,Center(C),2,-18,14,1
11,Restricted Area,Center(C),1,-9,11,1
12,Restricted Area,Center(C),1,-9,16,1
13,Restricted Area,Center(C),2,20,17,0
14,Above the Break 3,Right Side Center(RC),25,149,213,0
15,Left Corner 3,Left Side(L),22,-223,-18,1
16,Left Corner 3,Left Side(L),22,-223,-18,1
17,Restricted Area,Center(C),1,-10,11,0
18,In The Paint (Non-RA),Center(C),14,-73,131,0
19,Restricted Area,Center(C),3,-29,25,0
20,In The Paint (Non-RA),Center(C),5,45,34,0
21,Above the Break 3,Center(C),25,-26,249,1
22,Mid-Range,Center(C),15,-59,147,0
23,Above the Break 3,Right Side Center(RC),24,84,228,0
24,Left Corner 3,Left Side(L),23,-234,37,0
25,Restricted Area,Center(C),3,-1,33,0
26,Above the Break 3,Right Side Center(RC),25,105,233,0
27,Restricted Area,Center(C),2,-22,4,0
28,Above the Break 3,Left Side Center(LC),27,-87,257,1
29,Right Corner 3,Right Side(R),22,223,-5,1
30,Restricted Area,Center(C),1,16,-3,0
31,Above the Break 3,Right Side Center(RC),26,192,176,0
32,Above the Break 3,Left Side Center(LC),25,-142,212,0
33,Restricted Area,Center(C),0,5,7,0
34,Above the Break 3,Right Side Center(RC),25,101,232,0
35,Restricted Area,Center(C),1,-16,-3,0
36,Restricted Area,Center(C),1,-7,10,1
37,Above the Break 3,Right Side Center(RC),25,151,210,0
38,Right Corner 3,Right Side(R),23,236,16,1
39,Restricted Area,Center(C),1,-15,13,0
40,Restricted Area,Center(C),1,-18,1,1
41,Above the Break 3,Left Side Center(LC),26,-140,221,1
42,Above the Break 3,Center(C),25,-13,257,0
43,Restricted Area,Center(C),2,20,4,1
44,Restricted Area,Center(C),1,-16,-4,0
45,Above the Break 3,Right Side Center(RC),27,98,256,0
46,In The Paint (Non-RA),Center(C),4,-35,26,0
47,Above the Break 3,Right Side Center(RC),25,111,227,0
48,Restricted Area,Center(C),1,14,12,0
49,Above the Break 3,Center(C),25,4,256,0
50,Above the Break 3,Center(C),25,-58,252,0
51,Above the Break 3,Center(C),26,22,266,1
52,Restricted Area,Center(C),2,18,10,1
53,Above the Break 3,Left Side Center(LC),28,-139,248,0
54,Mid-Range,Left Side Center(LC),19,-130,148,0
55,Mid-Range,Center(C),19,57,183,0
56,Above the Break 3,Right Side Center(RC),28,144,245,0
57,Restricted Area,Center(C),1,-13,-8,1
58,Restricted Area,Center(C),1,-11,2,0
59,Left Corner 3,Left Side(L),22,-226,-11,1
60,Restricted Area,Center(C),1,-19,4,1
61,Restricted Area,Center(C),1,0,-10,1
62,Above the Break 3,Left Side Center(LC),32,-192,258,0
63,Restricted Area,Center(C),1,-13,14,0
64,Left Corner 3,Left Side(L),22,-228,1,0
65,Restricted Area,Center(C),1,-6,8,1
66,In The Paint (Non-RA),Right Side(R),14,76,127,0
67,Above the Break 3,Right Side Center(RC),25,103,238,0
68,Mid-Range,Center(C),15,62,143,0
69,Above the Break 3,Left Side Center(LC),28,-107,268,1
70,In The Paint (Non-RA),Center(C),4,39,29,0
71,Above the Break 3,Center(C),28,7,287,0
72,Restricted Area,Center(C),2,5,27,0
73,In The Paint (Non-RA),Center(C),13,-20,129,0
74,Above the Break 3,Right Side Center(RC),26,202,174,0
75,Right Corner 3,Right Side(R),23,231,3,1
76,Restricted Area,Center(C),2,15,16,0
77,Right Corner 3,Right Side(R),22,222,60,1
78,Above the Break 3,Center(C),25,57,253,1
79,In The Paint (Non-RA),Center(C),9,-30,88,0
80,Restricted Area,Center(C),1,-16,-8,0
81,Restricted Area,Center(C),2,-15,15,0
82,Mid-Range,Right Side Center(RC),19,125,153,0
83,Above the Break 3,Left Side Center(LC),26,-114,236,0
84,Restricted Area,Center(C),1,-8,10,1
85,Restricted Area,Center(C),3,-32,-7,0
86,Above the Break 3,Left Side Center(LC),25,-187,176,0
87,Restricted Area,Center(C),1,16,4,0
88,Restricted Area,Center(C),1,18,-6,0
89,Left Corner 3,Left Side(L),23,-232,-10,1
90,Restricted Area,Center(C),2,23,14,0
91,Above the Break 3,Left Side Center(LC),26,-170,207,0
92,Above the Break 3,Left Side Center(LC),25,-101,232,1
93,Above the Break 3,Left Side Center(LC),27,-121,251,1
94,Above the Break 3,Right Side Center(RC),25,160,204,0
95,Above the Break 3,Right Side Center(RC),26,144,223,0
96,Right Corner 3,Right Side(R),22,227,-26,0
97,Mid-Range,Left Side(L),14,-87,115,0
98,Above the Break 3,Left Side Center(LC),26,-149,214,0
99,Above the Break 3,Center(C),25,70,248,0
100,Above the Break 3,Right Side Center(RC),25,96,238,1
