,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,Restricted Area,Center(C),2,20,6,1
1,Above the Break 3,Center(C),25,9,251,0
2,Restricted Area,Center(C),3,-23,28,0
3,Restricted Area,Center(C),1,18,7,0
4,Restricted Area,Center(C),0,0,-6,1
5,Restricted Area,Center(C),0,8,0,0
6,Restricted Area,Center(C),1,-17,6,0
7,Restricted Area,Center(C),1,-19,6,1
8,Restricted Area,Center(C),1,-17,1,1
9,In The Paint (Non-RA),Center(C),7,78,10,0
10,Above the Break 3,Left Side Center(LC),25,-151,206,0
11,Restricted Area,Center(C),2,-6,22,1
12,In The Paint (Non-RA),Center(C),7,54,59,0
13,Restricted Area,Center(C),2,9,25,1
14,Left Corner 3,Left Side(L),22,-222,-1,0
15,Restricted Area,Center(C),3,25,20,0
16,In The Paint (Non-RA),Right Side(R),8,55,63,0
17,In The Paint (Non-RA),Center(C),6,13,64,0
18,In The Paint (Non-RA),Center(C),6,62,31,1
19,Restricted Area,Center(C),3,-26,22,0
20,Right Corner 3,Right Side(R),23,235,11,1
21,Above the Break 3,Left Side Center(LC),25,-182,176,1
22,Restricted Area,Center(C),2,13,27,0
23,Restricted Area,Center(C),0,0,-6,0
24,Restricted Area,Center(C),2,20,22,1
25,In The Paint (Non-RA),Center(C),7,34,62,1
26,In The Paint (Non-RA),Center(C),12,25,127,0
27,In The Paint (Non-RA),Center(C),4,10,42,0
28,Restricted Area,Center(C),2,-11,25,0
29,Mid-Range,Left Side(L),11,-116,18,0
30,Restricted Area,Center(C),1,-13,14,1
31,Above the Break 3,Right Side Center(RC),26,150,214,1
32,Above the Break 3,Left Side Center(LC),25,-125,222,1
33,In The Paint (Non-RA),Center(C),4,-45,17,0
34,In The Paint (Non-RA),Center(C),8,-10,86,0
35,Restricted Area,Center(C),2,20,1,1
36,Above the Break 3,Left Side Center(LC),27,-153,233,1
37,Restricted Area,Center(C),2,-23,8,1
38,Above the Break 3,Left Side Center(LC),26,-170,202,1
39,Mid-Range,Left Side Center(LC),18,-122,137,0
40,Above the Break 3,Right Side Center(RC),25,109,233,1
41,Above the Break 3,Right Side Center(RC),26,194,183,0
42,Left Corner 3,Left Side(L),23,-226,59,0
43,Restricted Area,Center(C),1,-14,-4,1
44,In The Paint (Non-RA),Center(C),6,-28,63,0
45,In The Paint (Non-RA),Center(C),4,4,44,1
46,Restricted Area,Center(C),1,-6,11,1
47,Restricted Area,Center(C),1,5,11,0
48,Restricted Area,Center(C),1,-13,5,1
49,In The Paint (Non-RA),Center(C),10,-9,102,0
50,Restricted Area,Center(C),2,-19,10,0
51,Above the Break 3,Center(C),26,4,267,0
52,Restricted Area,Center(C),1,-11,2,1
53,Right Corner 3,Right Side(R),22,226,-14,0
54,In The Paint (Non-RA),Center(C),4,3,47,1
55,Restricted Area,Center(C),3,-2,37,0
56,Restricted Area,Center(C),0,1,9,1
57,Mid-Range,Center(C),16,-40,159,1
58,Mid-Range,Center(C),19,-40,188,1
59,Above the Break 3,Left Side Center(LC),25,-96,241,1
60,Above the Break 3,Left Side Center(LC),26,-223,136,0
61,Right Corner 3,Right Side(R),23,231,3,0
62,Mid-Range,Left Side(L),12,-89,82,0
63,In The Paint (Non-RA),Center(C),5,36,43,1
64,Mid-Range,Right Side Center(RC),20,69,191,0
65,Restricted Area,Center(C),0,9,-3,1
66,Above the Break 3,Center(C),25,4,259,1
67,Restricted Area,Center(C),1,-13,-1,1
68,Mid-Range,Right Side Center(RC),19,68,179,1
69,Above the Break 3,Left Side Center(LC),25,-178,178,0
70,In The Paint (Non-RA),Center(C),6,59,29,0
71,Mid-Range,Right Side Center(RC),20,139,150,0
72,Restricted Area,Center(C),1,-9,6,1
73,Left Corner 3,Left Side(L),23,-233,11,0
74,In The Paint (Non-RA),Center(C),4,20,42,0
75,In The Paint (Non-RA),Center(C),14,63,132,1
76,Above the Break 3,Left Side Center(LC),25,-184,178,0
77,Restricted Area,Center(C),2,20,15,1
78,Mid-Range,Center(C),15,35,151,1
79,Restricted Area,Center(C),2,-24,5,0
80,Left Corner 3,Left Side(L),23,-237,-1,0
81,Above the Break 3,Left Side Center(LC),27,-120,248,0
82,Restricted Area,Center(C),0,-2,8,1
83,Mid-Range,Left Side Center(LC),20,-79,194,0
84,In The Paint (Non-RA),Center(C),4,-5,46,1
85,In The Paint (Non-RA),Center(C),5,-2,59,1
86,Mid-Range,Left Side Center(LC),16,-122,113,1
87,Restricted Area,Center(C),0,-8,-3,1
88,Mid-Range,Left Side(L),11,-96,63,0
89,In The Paint (Non-RA),Center(C),5,18,53,0
90,Above the Break 3,Left Side Center(LC),25,-215,146,1
91,In The Paint (Non-RA),Center(C),6,-9,63,1
92,Restricted Area,Center(C),2,23,11,1
93,Above the Break 3,Center(C),29,-59,287,1
94,Above the Break 3,Left Side Center(LC),26,-91,251,0
95,In The Paint (Non-RA),Center(C),5,-19,48,0
96,Restricted Area,Center(C),2,25,8,1
97,In The Paint (Non-RA),Center(C),7,73,14,1
98,Above the Break 3,Right Side Center(RC),28,139,250,1
99,Mid-Range,Right Side Center(RC),19,153,121,1
100,Mid-Range,Right Side(R),11,111,38,0
101,Mid-Range,Left Side(L),15,-85,130,0
102,Above the Break 3,Right Side Center(RC),26,236,113,0
103,In The Paint (Non-RA),Center(C),6,52,34,0
104,Restricted Area,Center(C),1,0,13,1
105,Above the Break 3,Center(C),27,-30,270,0
106,Restricted Area,Center(C),2,-7,21,0
107,Right Corner 3,Right Side(R),23,236,31,1
108,Restricted Area,Center(C),1,-10,16,1
109,Above the Break 3,Left Side Center(LC),26,-217,156,0
110,Restricted Area,Center(C),2,-18,19,1
111,Restricted Area,Center(C),2,-9,25,0
