,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,Restricted Area,Center(C),2,25,-6,1
1,Left Corner 3,Left Side(L),22,-220,-15,1
2,Right Corner 3,Right Side(R),23,231,15,1
3,Restricted Area,Center(C),2,-21,9,0
4,Right Corner 3,Right Side(R),23,237,16,1
5,Restricted Area,Center(C),0,5,6,1
6,Right Corner 3,Right Side(R),22,226,-13,0
7,Restricted Area,Center(C),3,31,18,0
8,Left Corner 3,Left Side(L),22,-225,-5,0
9,Above the Break 3,Center(C),24,-10,248,0
0,Above the Break 3,Center(C),26,-19,262,0
1,In The Paint (Non-RA),Center(C),6,49,37,1
2,Above the Break 3,Right Side Center(RC),26,140,220,1
3,Restricted Area,Center(C),0,0,0,1
4,In The Paint (Non-RA),Center(C),12,44,117,1
5,Above the Break 3,Left Side Center(LC),25,-150,206,0
6,Mid-Range,Right Side(R),10,105,-23,1
7,Above the Break 3,Center(C),26,23,262,0
8,In The Paint (Non-RA),Center(C),6,-46,48,0
9,Above the Break 3,Right Side Center(RC),26,137,222,0
10,Restricted Area,Center(C),1,-8,8,1
11,Restricted Area,Center(C),0,0,0,0
12,Restricted Area,Center(C),0,0,0,0
13,Restricted Area,Center(C),2,-11,17,1
14,Above the Break 3,Center(C),24,-41,242,1
15,Restricted Area,Center(C),2,23,4,1
16,Above the Break 3,Right Side Center(RC),26,107,247,0
17,Above the Break 3,Center(C),25,-22,258,0
18,Restricted Area,Center(C),1,6,8,1
19,Restricted Area,Center(C),0,0,0,1
20,Mid-Range,Left Side(L),11,-105,35,0
21,Above the Break 3,Right Side Center(RC),24,200,143,0
22,Restricted Area,Center(C),1,13,6,1
23,Above the Break 3,Right Side Center(RC),24,172,180,0
24,Restricted Area,Center(C),2,23,0,0
25,Restricted Area,Center(C),2,2,20,0
26,Left Corner 3,Left Side(L),22,-223,11,0
27,In The Paint (Non-RA),Center(C),6,6,67,0
28,Above the Break 3,Left Side Center(LC),25,-147,206,1
29,Above the Break 3,Center(C),26,37,260,0
30,Above the Break 3,Center(C),25,-30,256,0
31,Left Corner 3,Left Side(L),23,-231,20,0
32,Restricted Area,Center(C),0,-9,3,1
33,Restricted Area,Center(C),1,-19,-5,1
34,Restricted Area,Center(C),2,-20,-2,1
35,In The Paint (Non-RA),Center(C),7,73,-1,1
36,In The Paint (Non-RA),Center(C),6,-6,69,0
37,In The Paint (Non-RA),Center(C),5,55,-6,0
38,In The Paint (Non-RA),Center(C),6,-62,14,0
39,Restricted Area,Center(C),2,-8,25,0
40,Restricted Area,Center(C),2,3,22,0
41,Restricted Area,Center(C),2,-16,22,0
42,Restricted Area,Center(C),1,-14,1,0
43,Above the Break 3,Right Side Center(RC),25,206,143,0
44,Restricted Area,Center(C),1,12,6,0
45,Left Corner 3,Left Side(L),23,-234,-16,0
46,Restricted Area,Center(C),2,-27,5,1
47,Right Corner 3,Right Side(R),24,242,58,0
48,Above the Break 3,Right Side Center(RC),26,103,241,0
49,Above the Break 3,Center(C),24,-2,249,0
50,Left Corner 3,Left Side(L),22,-225,-12,1
51,Right Corner 3,Right Side(R),23,231,62,0
52,Above the Break 3,Left Side Center(LC),25,-82,243,0
53,Above the Break 3,Center(C),27,-27,270,1
54,Restricted Area,Center(C),0,0,0,0
55,Restricted Area,Center(C),0,0,0,0
56,Above the Break 3,Center(C),26,61,253,0
57,Restricted Area,Center(C),1,-3,13,1
58,Above the Break 3,Left Side Center(LC),26,-223,134,1
59,Mid-Range,Center(C),20,-49,204,0
